Date and Time,Operator,Slip Sense,Fault,Site,Type,Trench,Event,Georeference (1=Yes),Reference(s),Lithofacies,Geologic unit,Indicating Landform(s),Landform to trench distance (m),Angle between fault trend and feature (deg),Notes,Latitude,Longitude,Elevation (m),Trench length (m),Fault zone width (m),Trench half width (m),,Fault zone half width (m),,Number of secondary fractures,Slip (m),Max age (ka),MRE max dist to any fracture (m),
9/4/2024 9:59, JRA, SS, SAF, Bidart, R, Bidart T4 NW, C,0, Akciz et al. 2010, Gh Sh, Qi, OC AL,73,0, none,35.2337654,-119.7881647,647,27,20.4,15.8,11.2,9.6,10.8,39,20,1.2,19.3, 
9/4/2024 10:25, JRA, SS, SAF, Bidart, R, Bidart T4 SE, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,74,0, Cumulative slip from offset channels,35.23377,-119.78816,647,25,19.9,15.4,9.6,10.6,9.3,32,20,1.2,17.2, 
9/4/2024 10:38, JRA, SS, SAF, Bidart, R, Bidart T3 NW, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,32,0, Cumulative offset from channels nearby,35.23405,-119.78853,647,23.9,20.2,17.5,6.4,16.7,3.6,40,20,1.2,15.4, 
9/4/2024 10:42, JRA, SS, SAF, Bidart, R, Bidart T3 SE, C,0, Akciz et al. 2010, Gh Sh, Qi, AL OC,32,0, ,35.23405,-119.78853,647,24.8,24,17.2,7.6,16.6,7.4,42,20,1.2,18.7, 
9/4/2024 10:47, JRA, SS, SAF, Bidart, R, Bidart T2 NW, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,20,0, Cumulative offset from nearby channel,35.23151,-119.78596,649,19,15.5,13.4,5.6,10.6,4.9,29,20,0.5,10.7, 
9/4/2024 10:53, JRA, SS, SAF, Bidart, R, Bidart T2 SE, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,20,0, ,35.23151,-119.78596,649,19.1,15.6,14,5,11,4.6,40,20,0.5,12.7, 
9/4/2024 10:59, JRA, SS, SAF, Bidart, R, Bidart T5 NW, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,54,0, Cumulative slip from offset channel at site,35.2327,-119.7871,648,29.8,20.9,14.3,15.5,10.7,10.2,32,20,1.2,18, 
9/4/2024 11:02, JRA, SS, SAF, Bidart, R, Bidart T5 SE, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,30,0, ,35.2327,-119.7871,648,30,17.1,14.9,15.1,6.7,10.4,23,20,1.2,15.6, 
9/4/2024 11:07, JRA, SS, SAF, Bidart, R, Bidart T11 NW, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,10,10, Cumlative slip from offset channels at site,35.23251,-119.78698,648,29.1,25.1,18,11,15.8,9.4,38,20,1.2,16.4, 
9/4/2024 11:10, JRA, SS, SAF, Bidart, R, Bidart T11 SE, C,0, Akciz et al. 2010, Sh Gh, Qi, AL OC,10,10, ,35.23251,-119.78698,648,27.6,24.8,16.6,11,15.5,9.2,28,20,1.2,16.1, 
9/4/2024 12:06, JRA, R, PFT, Achyk-Suu, R, Patyniak Achyk-Suu T2E, C,0, Patyniak et al. 2021, Gmm Sm,T3, AL SP,0,0, Slip from Patyniak et al,39.47833,72.50845,2934,23.4,15.8,5.3,18.1,1.6,14.2,7,11.6,14.3,15.8, 
9/4/2024 12:10, JRA, R, PFT, Achyk-Suu, R, Patyniak Achyk-Suu T2W, C,0, Patyniak et al. 2021, Gmm Sm ,T3, AL SP,0,0, ,39.47833,72.50845,2936,23.9,14.5,6.2,17.7,0.6,13.9,6,11.8,14.3,13.9, 
9/4/2024 12:30, JRA, R, PFT,Ylaisu, R, Patyniak Ylaisu T3E, C,0, Patyniak et al. 2021, Gh Sh Fl,T3, SP,0,0, Trench is a bit short to span fault zone,39.47906,72.52391,2980,12.5,7.4,0,12.4,0,7.4,7,1.2,13.9,7.3, 
9/4/2024 12:36, JRA, R, PFT,Ylaisu, R, Patyniak Ylaisu T3W, C,0, Patyniak et al. 2021, Gh Sh Fl, T3, SP,0,0, ,39.47906,72.52391,2980,12.6,6.4,0.1,12.4,0,6.4,5,1.2,13.9,6.2, 
04-Sep-2024 12:41:35, JRA, R, PFT, Tashkungey, R, Patyniak Tashkungey T5E, C, 0, Patyniak et al. 2021, Gh Sm, T3, SP, 0.0, 0.0, See Table 4 for slip and for age, 39.52023, 72.77752, 3180.0, 21.8, 12.2, 15.6, 6.1, 11.9, 0.3, 3, 9.9, 5.40, 12.2, 
04-Sep-2024 12:43:53, JRA, R, PFT, Tashkungey, R, Patyniak Tashkungey T5W, C, 0, Patyniak et al. 2021, Gh Sm, T3, SP, 0.0, 0.0, , 39.52023, 72.77752, 3180.0, 20.7, 11.0, 15.0, 5.7, 11.0, 0.0, 2, 9.9, 5.40, 11.1, 
